productcode,productname,relatedcategoryid,categoryname,subcategoryname,subsubcategoryname,productdescription,fob,furtherdescription,defaultimagename,Size,Colors,Imprint,Imprint Method 1,Imprint Method 2,Weight,Lead Time,Rush Lead Time,Imprint Area,Packaging,Run Charge,Setup Charge,Set-up Charge,Additional Colors/Positions,Additional Colors,Additional Positions,Carton Weight (Lbs),Carton Width,Carton Height,Carton Length,Units Per Carton,pricename_1,quantity1_1,price1_1,discountcode1_1,quantity2_1,price2_1,discountcode2_1,quantity3_1,price3_1,discountcode3_1,quantity4_1,price4_1,discountcode4_1,quantity5_1,price5_1,discountcode5_1,quantity6_1,price6_1,discountcode6_1
AB1006,All About Me - Bank Story and Me,135,Awareness,Awareness,All About Me,"The child is the star of this interactive story which addresses the importance of saving money, how to open an account, making deposits, the basics of interest, and how to keep track of your balance. Bright, interesting illustrations and fun, rhyming text create a handy teaching tool. For these and many more: Childcare Centers~Community Centers~Insurance~Retail~Schools~Banks -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1006_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1007,All About Me - Doctor and Me,135,Awareness,Awareness,All About Me,"This interactive book informs children on when and why to go to the doctor, what to expect during a visit, and eases any fears associated with a medical exam. Bright, friendly illustrations and rhyming text, with the ability to personalize the book with the child’s picture creates an instant keepsake. For these and many more: Childcare Centers~Community Centers~Insurance~Health Departments~Medical Centers~Retail~Schools~Doctors~Hospitals -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1007_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1008,All About Me - Dentist and Me,135,Awareness,Awareness,All About Me,"Everyone knows it's important to visit the dentist. This interactive book teaches children what to expect so they can be comfortable during their dentist visit. With a child's picture in place at the end of the book, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1008_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1009,All About Me - Emergency Room and Me,135,Awareness,Awareness,All About Me,"This new children’s adventure book provides a space on the back cover to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. A Visit to the emergency room can be a very scary thing for a child. In this story, children learn that the ER staff are friendly, caring and there to make them feel better. This story prepares kids for what they can expect and offers tips on making the most of their visit. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1009_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1010,All About Me - Bullying Prevention and Me,135,Awareness,Awareness,All About Me,"These children’s adventure books provide a space at the end of the book to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. The educational 16-page children’s adventure book comes with creative character to help educate on any topic. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1010_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1011,All About Me - Drug Free and Me,135,Awareness,Awareness,All About Me,"These children’s adventure books provide a space at the end of the book to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. The educational 16-page children’s adventure book comes with creative character to help educate on any topic. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1011_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1012,All About Me - My Pets and Me,135,Awareness,Awareness,All About Me,"These children’s adventure books provide a space at the end of the book to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. The educational 16-page children’s adventure book comes with creative character to help educate on any topic. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1012_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1013,"All About Me - Fitness, Exercise, and Me",135,Awareness,Awareness,All About Me,"These children’s adventure books provide a space at the end of the book to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. The educational 16-page children’s adventure book comes with creative character to help educate on any topic. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1013_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1014,All About Me - Holidays and Me,135,Awareness,Awareness,All About Me,"These children’s adventure books provide a space at the end of the book to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. This story promotes awareness and acceptance by educating kids on the various winter holidays across multiple cultures. For these and many more: Childcare Centers~Community Centers~Retail~Schools -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1014_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1015,All About Me - Credit Union and Me,135,Awareness,Awareness,All About Me,"These children’s adventure books provide a space at the end of the book to insert a child’s picture. With the picture in place, the child becomes an instant star while learning about credit unions. His or her picture appears on every page of the storyline throughout. Provides tips on saving money, spending wisely and earning interest. For these and many more: Childcare Centers~Community Centers~Insurance~Credit Union~Retail~Schools -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1015_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1016,All About Me - Airport and Me,135,Awareness,Awareness,All About Me,"These children’s adventure books provide a space at the end of the book to insert a child’s picture. With the picture in place, the child becomes an instant star as they learn how to be prepared for airplane trips. Learn about the check-in process, the rules of the airport and how to behave on an airplane. For these and many more: Childcare Centers~Airports~Insurance~Police Departments~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1016_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1017,All About Me - Internet Safety and Me,135,Awareness,Awareness,All About Me,"Learn about the internet, how to stay safe and watch out for cyber-bullies, all while being the star of this helpful book. Colorful graphics and great advice highlight this interactive story. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1017_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1017s,All About Me - Internet Safety and Me (Spanish),135,Awareness,Awareness,All About Me,"Learn about the internet, how to stay safe and watch out for cyber-bullies, all while being the star of this helpful book. Colorful graphics and great advice highlight this interactive story. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1017s_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1018,All About Me - EMTs and Me,135,Awareness,Awareness,All About Me,"The child is the star of this story that follows a day in the life of an EMT. Learn how an EMT works with police and firefighters to help bring people in danger to safety. Also shows the special equipment they use. Colorful graphics and great advice highlight this interactive story. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1018_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1019,All About Me - Healthy Eating and Me,135,Awareness,Awareness,All About Me,"This new children’s adventure book provides a space on the back cover to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. Be the star of this fun story while learning that eating the right types of food will help you grow up to be strong and healthy. Having family dinners and picnics can make eating healthy even more fun! For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1019_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1019s,All About Me - Healthy Eating and Me (Spanish),135,Awareness,Awareness,All About Me,"This new children’s adventure book provides a space on the back cover to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. Be the star of this fun story while learning that eating the right types of food will help you grow up to be strong and healthy. Having family dinners and picnics can make eating healthy even more fun! For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1019s_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1020,All About Me - Water Safety and Me,135,Awareness,Awareness,All About Me,"This new children’s adventure book provides a space on the back cover to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. Important tips and colorful illustrations highlight this book which is a necessity for every child. While being the star of the story, children can learn how to stay safe when near water or swimming. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1020_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
