HCL Item#,Item Status,Item Name,Description,Decoration,Web Link,Item Color,Item Size,Length,Width,Height,Carton Weight,Carton Qty,Standard Production Time,Item MOQ,Qty 2,Qty 3,Qty 4,Qty 5,Price 1,Price 2,Price 3,Price 4,Price 5,"Rush Cost ""R""",MOQ, Qty2, Qty3, Qty4, Qty5,Price1,Price2,Price3,Price4,Price5,Ocean Service,MOQ,Qty 2,Qty 3,Qty 4,Qty 5,Price 1,Price 2,Price 3,Price 4,Price 5 
A1715,Active/All Products,The Bradford Cigar Cutter,"Your campaign efforts will never go up in smoke with the Bradford cigar cutter! This stainless steel cigar cutter can easily open up to cut all cigars. Measuring 2 3/8 x 3 1/8, this wonderful giveaway includes a gift box. For the cigar lover or the person who just loves to indulge from time to time, this favor is perfect. Promote your brand by having your logo or message imprinted on yours today!","Imprint Area: (2 sides): 1/2''w x 1 1/8''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Direct imprinting can and will come off over time and use. Direct imprinting includes a one color one location imprint. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals.",http://www.highcaliberline.com//catalog/product/view/id/771,Silver,2 3/8w x 3 1/8h,17,10,8,18,100,3 Day Service (R),100,250,500,1000,2500,6.99,6.89,6.79,6.69,6.59,24 Hour Rush (R),100,250,500,1000,2500,7.39,7.29,7.19,7.09,6.99,10 Weeks,5000,10000,25000,50000,,5.49,5.29,5.19,5.09,
A1716,Active/All Products,The Vinifera Aerator,Here’s a fantastic item to “wine and dine” potential clients! Aerate and pour your wine with ease and style using this aerating pour spout. The Vinifera Aerator pourer features a secure black rubber seal around the middle to seal your wine bottles tightly as you pour. The pour spout has dual air valves and air blending strainers to perfect aerate your favorite wines. This marketing tool is individually packaged in a white box; order yours today.,"Imprint Area: 1 3/4''w x 1/2''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Direct imprinting includes a one color one location imprint. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please See Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/772,Clear,3 7/8h,20,14,13,30,450,3 Day Service (R),100,250,500,1000,2500,3.89,3.79,3.69,3.59,3.49,24 Hour Rush (R),100,250,500,1000,2500,4.19,4.09,3.99,3.89,3.79,10 Weeks,5000,10000,25000,50000,,2.69,2.59,2.55,2.49,
A1718,Active/All Products,The Tuscany Wine Set ,"No one will “wine” about this giveaway when featured during your next event! The Tuscany Wine Set is a wonderful collection of wine accessories for any high-end gift giving. This set includes a bottle cuff, bottle stopper and bottle opener; all packaged in a gorgeous rosewood box with gold trim. The custom foam insert fit the items perfectly. Made of rosewood/shiny gold metal; your brand will stand out. Artwork is imprinted on the metal plaque.  ","Imprint Area: 2w x 1h (on plate only)     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/773,Brown,5w x 7h x 2t,17,17,10,12,24,3 Day Service (R),50,100,250,500,1000,13.89,13.59,13.29,12.99,12.69,24 Hour Rush (R),50,100,250,500,1000,14.39,14.09,13.79,13.49,13.19,10 Weeks,5000,10000,25000,50000,,10.69,10.39,10.09,9.89,
A1719,Active/All Products,The Parisian Wine Set,"You'll set the wheels of campaign success in motion beautifully with the Parisian wine set! Including a foil cutter and extra corkscrew, this rabbit-style wine bottle opener set comes in a beautiful rosewood gift box with a shiny, gold metal plaque. Artwork is only imprinted on the metal plaque. Measuring 8 1/2 x 8 1/2, this giveaway's sure to impress while you promote your brand. Have your logo or message imprinted on yours today!","Imprint Area: 2''w x 1''h (on plate only)     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/774,Brown,8 1/2w x 8 1/2h,11,14,19,31,10,3 Day Service (R),50,100,250,500,1000,20.99,20.49,20.29,19.99,19.69,24 Hour Rush (R),50,100,250,500,1000,21.49,20.99,20.79,20.49,20.19,10 Weeks,5000,10000,25000,50000,,16.99,16.59,16.19,15.99,
A1795,Active/All Products,Vacuum Wine Stopper,"This stylish brushed stainless steel vacuum stopper is easy to use. Gently push stopper down onto the bottle and it will self-lock, while the silicone insert gives you an air-tight seal. To release the stainless steel push button wine bottle stopper, simply press down on the push button top. For permanent imprint, this item is laser engraved.  24 hour production not available for direct imprinting.  ","Imprint Area: (Laser)(Top): 7/8'' Diam                                  (Laser)(Optional Side): 3/4''w x 1 1/4''h                                  (Pad)(Top): 7/8 Diam (1 Color Only)                                  (Pad)(Optional Side): 3/4w x 1 1/4h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/775,Silver,1 3/4 Diam,11,15,11,41,320,3 Day Service (R),100,250,500,1000,2500,3.19,3.15,3.09,3.05,2.99,24 Hour Rush (R),100,250,500,1000,2500,3.49,3.45,3.39,3.35,3.29,10 Weeks,5000,10000,25000,50000,,2.09,1.99,1.95,1.89,
A3001,Disabled on Website,Classic Chrome Pedometer,"PATENT PENDING A polished chrome metal pedometer that calculates steps, distance, time and calories burned. For best accuracy, adjust the sensitivity and wear it on your hip. Laser Engraving included in the price. Includes a gift box.","Imprint Area: 1''w x 1''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**   Laser engraving is the standard and preferred method of decorating metal items. Direct imprinting can and will come off over time and use. Direct imprinting includes a one color one location imprint. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals.  Price includes a one color one location imprint. Additional colors/locations are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. See Terms & Conditions Product safety and social compliance information.",http://www.highcaliberline.com//catalog/product/view/id/776,Silver,1 3/4w x 2 1/4h,12,10,15,10,200,3 Day Service (R),100,250,500,1000,2500,3.89,3.85,3.79,3.75,3.69,24 Hour Rush (R),100,250,500,1000,2500,4.19,4.15,4.09,4.05,3.99,10 Weeks,5000,10000,25000,50000,,2.99,2.89,2.79,2.69,
A4051,Active/All Products,The Puzzle Key Chain,"A puzzle design key chain with a combination of polished chrome and satin metal finishes. Logo is imprinted on the backside. For permanent imprint, this item is laser engraved.  24 hour production not available for direct imprinting. Includes a gift box.","Imprint Area: 7/8''w x 7/8''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/777,Silver,2 1/2w x 1 1/4h x 3/16t,16,10,11,7,200,3 Day Service (R),100,250,500,1000,2500,2.29,2.25,2.19,2.15,2.09,24 Hour Rush (R),100,250,500,1000,2500,2.59,2.55,2.49,2.45,2.39,10 Weeks,5000,10000,25000,50000,,1.39,1.35,1.29,1.25,
A4053,Active/All Products,The Corsa Key Chain,An oval satin metal key chain with polished chrome metal accents. Laser Engraving or digital insert included in the price. Add an epoxy dome to a digital insert for $0.20(R)/pc. 24 hour production is not available for epoxy dome. Epoxy dome will require 3 day production. Includes a gift box.,"Imprint Area: 1 7/16''w x 5/8''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/778,Silver,3 3/8w x 1 3/8h x 1/8t,20,12,13,16,400,3 Day Service (R),100,250,500,1000,2500,1.89,1.85,1.79,1.75,1.69,24 Hour Rush (R),100,250,500,1000,2500,2.09,2.05,1.99,1.95,1.89,10 Weeks,5000,10000,25000,50000,,1.09,1.05,0.99,0.95,
A4054,Active/All Products,The Bandiera Key Chain,A rectangular satin metal key chain with polished chrome metal accents. Add an epoxy dome to a digital insert for $0.20(R)/pc. 24 hour service is not available on epoxy dome. Epoxy dome will require 3 day production. Includes a gift box.,"Imprint Area: 15/16''w x 5/8''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/779,Silver,3 1/4w x 1 3/8h x 1/8t,19,12,13,39,400,3 Day Service (R),100,250,500,1000,2500,1.39,1.39,1.39,1.39,1.39,24 Hour Rush (R),100,250,500,1000,2500,1.59,1.59,1.59,1.59,1.59,10 Weeks,5000,10000,25000,50000,,1.09,1.05,0.99,0.95,
A4056,Active/All Products,The Dog Bone Key Chain,A polished chrome metal dog bone shaped key chain. Includes a gift box.,"Imprint Area: 5/8''w x 1/4''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/780,Silver,2w x 1 1/4h x 1/4t,20,12,13,12,400,3 Day Service (R),100,250,500,1000,2500,1.89,1.85,1.79,1.75,1.69,24 Hour Rush (R),100,250,500,1000,2500,2.09,2.05,1.99,1.95,1.89,10 Weeks,5000,10000,25000,50000,,1.09,1.05,0.99,0.95,
A4057,Active/All Products,The Car Key Chain,"A polished chrome metal car/automobile shaped key chain.  For permanent imprint, this item is laser engraved.  24 hour production not available for direct imprinting.  Includes a gift box.","Imprint Area: 1 1/8''w x 5/16''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/781,Silver,1 5/8w x 2 5/8h x 1/8t,11,11,12,26,300,3 Day Service (R),100,250,500,1000,2500,2.09,2.05,1.99,1.95,1.89,24 Hour Rush (R),100,250,500,1000,2500,2.29,2.25,2.19,2.15,2.09,10 Weeks,5000,10000,25000,50000,,1.19,1.09,1.05,0.99,
