Product Line,ChargeName,ChargeType,Imprint Name,Description,Charge,Column Code
Basics,Miscellaneous (g),OTHER,,Polybag,0.25,g
Basics,Miscellaneous (g),OTHER,,Drop Ship,6.25,g
Basics,Miscellaneous (g),OTHER,,AD24 Rush Less Than Minimum 1/2 First column (Absolute Minimum),80,g
Essentials,Setup (g),IMPRINT,Laser,Laser per logo/location,56.25,g
Essentials,Setup (g),OTHER,,Personalization Setup,56.25,g
Essentials,Setup (g),IMPRINT,Deboss,Debossed per logo/location,100,g
Essentials,Setup (g),IMPRINT,Print,Print per location/color,56.25,g
Essentials,Setup (g),IMPRINT,Vinyl,Vinyl/Dome,56.25,g
Essentials,Setup (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Essentials,Setup (g),OTHER,,ColorSplash,56.25,g
Essentials,Setup (g),OTHER,,Embroidery (up to 7500 stiches) $20 per 1000st thereafter,100,g
Essentials,Setup (g),OTHER,,Color Change,25,g
Essentials,Repeat (g),IMPRINT,Laser,Laser per logo/location,25,g
Essentials,Repeat (g),IMPRINT,Laser,Personalization (laser),25,g
Essentials,Repeat (g),IMPRINT,Deboss,Deboss,25,g
Essentials,Repeat (g),IMPRINT,Print,Print per location/color,25,g
Essentials,Repeat (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Essentials,Repeat (g),IMPRINT,Vinyl,Vinyl panel or dome (Full color),25,g
Essentials,Repeat (g),OTHER,,ColorSplash,25,g
Essentials,Repeat (g),IMPRINT,Print,Color Change,25,g
Essentials,Repeat (g),IMPRINT,Embroidery,Embroidery,0,g
Essentials,Additional Color / Locations,OTHER,,Laser,0.4,g
Essentials,Additional Color / Locations,OTHER,,Oxidation,0.25,g
Essentials,Additional Color / Locations,IMPRINT,Laser,Personalization (laser),1,g
Essentials,Additional Color / Locations,IMPRINT,Etched,Crystal,8,g
Essentials,Additional Color / Locations,IMPRINT,Deboss,Deboss,0.4,g
Essentials,Additional Color / Locations,IMPRINT,Vinyl,Vinyl/Dome,0.4,g
Essentials,Additional Color / Locations,IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),1.25,g
Essentials,Additional Color / Locations,OTHER,,Print - Logomark,0.4,g
Essentials,Additional Color / Locations,IMPRINT,Print,Print - Valumark,0.25,g
Essentials,Additional Color / Locations,OTHER,,ColorSplash,0.4,g
Essentials,Additional Color / Locations,IMPRINT,Embroidery,Embroidery (per 1000 stiches min 7500 stiches),0.3,g
Essentials,Miscellaneous (g),OTHER,,Insertion Charge,0.25,g
Essentials,Miscellaneous (g),OTHER,,Less Than Minimum 1/2 First column (Absolute Minimum),50,g
Essentials,Miscellaneous (g),OTHER,,Less Than Minimum Transfers,100,g
Essentials,Miscellaneous (g),OTHER,,Art Proof (after 1st proof),10,g
Essentials,Miscellaneous (g),OTHER,,Custom Die Charge,175,g
Essentials,Miscellaneous (g),OTHER,,Pre-Production Proof,50,g
Essentials,Miscellaneous (g),OTHER,,Art - Cleanup per 1/2 hour or typeset,25,g
Essentials,Miscellaneous (g),OTHER,,Label Application,0.15,g
Essentials,Miscellaneous (g),OTHER,,Hangtag,0.15,g
Essentials,Miscellaneous (g),OTHER,,Kitting per item per kit,0.25,g
Essentials,Miscellaneous (g),OTHER,,Polybag,0.25,g
Essentials,Miscellaneous (g),OTHER,,Drop Ship,6.25,g
Essentials,Miscellaneous (g),OTHER,,AD24 Rush Less Than Minimum 1/2 First column (Absolute Minimum),80,g
LogoArt,Less Than Minimum,OTHER,,250-499 pieces,250,g
LogoArt,Less Than Minimum,OTHER,,Full Color Transfer (250 piece minimum),120,g
Giftcor,Setup (g),IMPRINT,Laser,Laser per logo/location,56.25,g
Giftcor,Setup (g),OTHER,,Personalization Setup,56.25,g
Giftcor,Setup (g),IMPRINT,Deboss,Debossed per logo/location,100,g
Giftcor,Setup (g),IMPRINT,Print,Print per location/color,56.25,g
Giftcor,Setup (g),IMPRINT,Vinyl,Vinyl/Dome,56.25,g
Giftcor,Setup (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Giftcor,Setup (g),OTHER,,ColorSplash,56.25,g
Giftcor,Setup (g),OTHER,,Embroidery (up to 7500 stiches) $20 per 1000st thereafter,100,g
Giftcor,Setup (g),OTHER,,Color Change,25,g
Giftcor,Repeat (g),IMPRINT,Laser,Laser per logo/location,25,g
Giftcor,Repeat (g),IMPRINT,Laser,Personalization (laser),25,g
Giftcor,Repeat (g),IMPRINT,Deboss,Deboss,25,g
Giftcor,Repeat (g),IMPRINT,Print,Print per location/color,25,g
Giftcor,Repeat (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Giftcor,Repeat (g),IMPRINT,Vinyl,Vinyl panel or dome (Full color),25,g
Giftcor,Repeat (g),OTHER,,ColorSplash,25,g
Giftcor,Repeat (g),IMPRINT,Print,Color Change,25,g
Giftcor,Repeat (g),IMPRINT,Embroidery,Embroidery,0,g
Giftcor,Additional Color / Locations,OTHER,,Laser,0.4,g
Giftcor,Additional Color / Locations,OTHER,,Oxidation,0.25,g
Giftcor,Additional Color / Locations,IMPRINT,Laser,Personalization (laser),1,g
Giftcor,Additional Color / Locations,IMPRINT,Etched,Crystal,8,g
Giftcor,Additional Color / Locations,IMPRINT,Deboss,Deboss,0.4,g
Giftcor,Additional Color / Locations,IMPRINT,Vinyl,Vinyl/Dome,0.4,g
Giftcor,Additional Color / Locations,IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),1.25,g
Giftcor,Additional Color / Locations,OTHER,,Print - Logomark,0.4,g
Giftcor,Additional Color / Locations,IMPRINT,Print,Print - Valumark,0.25,g
Giftcor,Additional Color / Locations,OTHER,,ColorSplash,0.4,g
Giftcor,Additional Color / Locations,IMPRINT,Embroidery,Embroidery (per 1000 stiches min 7500 stiches),0.3,g
Giftcor,Miscellaneous (g),OTHER,,Insertion Charge,0.25,g
Giftcor,Miscellaneous (g),OTHER,,Less Than Minimum 1/2 First column (Absolute Minimum),50,g
Giftcor,Miscellaneous (g),OTHER,,Less Than Minimum Transfers,100,g
Giftcor,Miscellaneous (g),OTHER,,Art Proof (after 1st proof),10,g
Giftcor,Miscellaneous (g),OTHER,,Custom Die Charge,175,g
Giftcor,Miscellaneous (g),OTHER,,Pre-Production Proof,50,g
Giftcor,Miscellaneous (g),OTHER,,Art - Cleanup per 1/2 hour or typeset,25,g
Giftcor,Miscellaneous (g),OTHER,,Label Application,0.15,g
Giftcor,Miscellaneous (g),OTHER,,Hangtag,0.15,g
Giftcor,Miscellaneous (g),OTHER,,Kitting per item per kit,0.25,g
Giftcor,Miscellaneous (g),OTHER,,Polybag,0.25,g
Giftcor,Miscellaneous (g),OTHER,,Drop Ship,6.25,g
Giftcor,Miscellaneous (g),OTHER,,AD24 Rush Less Than Minimum 1/2 First column (Absolute Minimum),80,g
Bettoni,Setup (g),IMPRINT,Laser,Laser per logo/location,56.25,g
Bettoni,Setup (g),OTHER,,Personalization Setup,56.25,g
Bettoni,Setup (g),IMPRINT,Deboss,Debossed per logo/location,100,g
Bettoni,Setup (g),IMPRINT,Print,Print per location/color,56.25,g
Bettoni,Setup (g),IMPRINT,Vinyl,Vinyl/Dome,56.25,g
Bettoni,Setup (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Bettoni,Setup (g),OTHER,,ColorSplash,56.25,g
Bettoni,Setup (g),OTHER,,Embroidery (up to 7500 stiches) $20 per 1000st thereafter,100,g
Bettoni,Setup (g),OTHER,,Color Change,25,g
Bettoni,Repeat (g),IMPRINT,Laser,Laser per logo/location,25,g
Bettoni,Repeat (g),IMPRINT,Laser,Personalization (laser),25,g
Bettoni,Repeat (g),IMPRINT,Deboss,Deboss,25,g
Bettoni,Repeat (g),IMPRINT,Print,Print per location/color,25,g
Bettoni,Repeat (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Bettoni,Repeat (g),IMPRINT,Vinyl,Vinyl panel or dome (Full color),25,g
Bettoni,Repeat (g),OTHER,,ColorSplash,25,g
Bettoni,Repeat (g),IMPRINT,Print,Color Change,25,g
Bettoni,Repeat (g),IMPRINT,Embroidery,Embroidery,0,g
Bettoni,Additional Color / Locations,OTHER,,Laser,0.4,g
Bettoni,Additional Color / Locations,OTHER,,Oxidation,0.25,g
Bettoni,Additional Color / Locations,IMPRINT,Laser,Personalization (laser),1,g
Bettoni,Additional Color / Locations,IMPRINT,Etched,Crystal,8,g
Bettoni,Additional Color / Locations,IMPRINT,Deboss,Deboss,0.4,g
Bettoni,Additional Color / Locations,IMPRINT,Vinyl,Vinyl/Dome,0.4,g
Bettoni,Additional Color / Locations,IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),1.25,g
Bettoni,Additional Color / Locations,OTHER,,Print - Logomark,0.4,g
Bettoni,Additional Color / Locations,IMPRINT,Print,Print - Valumark,0.25,g
Bettoni,Additional Color / Locations,OTHER,,ColorSplash,0.4,g
Bettoni,Additional Color / Locations,IMPRINT,Embroidery,Embroidery (per 1000 stiches min 7500 stiches),0.3,g
Bettoni,Miscellaneous (g),OTHER,,Insertion Charge,0.25,g
Bettoni,Miscellaneous (g),OTHER,,Less Than Minimum 1/2 First column (Absolute Minimum),50,g
Bettoni,Miscellaneous (g),OTHER,,Less Than Minimum Transfers,100,g
Bettoni,Miscellaneous (g),OTHER,,Art Proof (after 1st proof),10,g
Bettoni,Miscellaneous (g),OTHER,,Custom Die Charge,175,g
Bettoni,Miscellaneous (g),OTHER,,Pre-Production Proof,50,g
Bettoni,Miscellaneous (g),OTHER,,Art - Cleanup per 1/2 hour or typeset,25,g
Bettoni,Miscellaneous (g),OTHER,,Label Application,0.15,g
Bettoni,Miscellaneous (g),OTHER,,Hangtag,0.15,g
Bettoni,Miscellaneous (g),OTHER,,Kitting per item per kit,0.25,g
Bettoni,Miscellaneous (g),OTHER,,Polybag,0.25,g
Bettoni,Miscellaneous (g),OTHER,,Drop Ship,6.25,g
Bettoni,Miscellaneous (g),OTHER,,AD24 Rush Less Than Minimum 1/2 First column (Absolute Minimum),80,g
Jorg Gray,Setup (g),OTHER,,First Color $25.00(g) Each Additional color,56.25,g
Jorg Gray,Pre-Production Proof,OTHER,,"Billed at EQP of timepiece, plus set up charge of desired imprint method, plus $45.00(g) proof sample surcharge.",0,g
Jorg Gray,Less Than Minimum,OTHER,,Full Color Transfer (250 piece minimum),120,g
Basics Plastik,Setup (g),IMPRINT,Laser,Laser per logo/location,56.25,g
Basics Plastik,Setup (g),OTHER,,Personalization Setup,56.25,g
Basics Plastik,Setup (g),IMPRINT,Deboss,Debossed per logo/location,100,g
Basics Plastik,Setup (g),IMPRINT,Print,Print per location/color,56.25,g
Basics Plastik,Setup (g),IMPRINT,Vinyl,Vinyl/Dome,56.25,g
Basics Plastik,Setup (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Basics Plastik,Setup (g),OTHER,,ColorSplash,56.25,g
Basics Plastik,Setup (g),OTHER,,Embroidery (up to 7500 stiches) $20 per 1000st thereafter,100,g
Basics Plastik,Setup (g),OTHER,,Color Change,25,g
Basics Plastik,Repeat (g),IMPRINT,Laser,Laser per logo/location,25,g
Basics Plastik,Repeat (g),IMPRINT,Laser,Personalization (laser),25,g
Basics Plastik,Repeat (g),IMPRINT,Deboss,Deboss,25,g
Basics Plastik,Repeat (g),IMPRINT,Print,Print per location/color,25,g
Basics Plastik,Repeat (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Basics Plastik,Repeat (g),IMPRINT,Vinyl,Vinyl panel or dome (Full color),25,g
Basics Plastik,Repeat (g),OTHER,,ColorSplash,25,g
Basics Plastik,Repeat (g),IMPRINT,Print,Color Change,25,g
Basics Plastik,Repeat (g),IMPRINT,Embroidery,Embroidery,0,g
Basics Plastik,Additional Color / Locations,OTHER,,Laser,0.4,g
Basics Plastik,Additional Color / Locations,OTHER,,Oxidation,0.25,g
Basics Plastik,Additional Color / Locations,IMPRINT,Laser,Personalization (laser),1,g
Basics Plastik,Additional Color / Locations,IMPRINT,Etched,Crystal,8,g
Basics Plastik,Additional Color / Locations,IMPRINT,Deboss,Deboss,0.4,g
Basics Plastik,Additional Color / Locations,IMPRINT,Vinyl,Vinyl/Dome,0.4,g
Basics Plastik,Additional Color / Locations,IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),1.25,g
Basics Plastik,Additional Color / Locations,OTHER,,Print - Logomark,0.4,g
Basics Plastik,Additional Color / Locations,IMPRINT,Print,Print - Valumark,0.25,g
Basics Plastik,Additional Color / Locations,OTHER,,ColorSplash,0.4,g
Basics Plastik,Additional Color / Locations,IMPRINT,Embroidery,Embroidery (per 1000 stiches min 7500 stiches),0.3,g
Basics Plastik,Miscellaneous (g),OTHER,,Insertion Charge,0.25,g
Basics Plastik,Miscellaneous (g),OTHER,,Less Than Minimum 1/2 First column (Absolute Minimum),50,g
Basics Plastik,Miscellaneous (g),OTHER,,Less Than Minimum Transfers,100,g
Basics Plastik,Miscellaneous (g),OTHER,,Art Proof (after 1st proof),10,g
Basics Plastik,Miscellaneous (g),OTHER,,Custom Die Charge,175,g
Basics Plastik,Miscellaneous (g),OTHER,,Pre-Production Proof,50,g
Basics Plastik,Miscellaneous (g),OTHER,,Art - Cleanup per 1/2 hour or typeset,25,g
Basics Plastik,Miscellaneous (g),OTHER,,Label Application,0.15,g
Basics Plastik,Miscellaneous (g),OTHER,,Hangtag,0.15,g
Basics Plastik,Miscellaneous (g),OTHER,,Kitting per item per kit,0.25,g
Basics Plastik,Miscellaneous (g),OTHER,,Polybag,0.25,g
Basics Plastik,Miscellaneous (g),OTHER,,Drop Ship,6.25,g
Basics Plastik,Miscellaneous (g),OTHER,,AD24 Rush Less Than Minimum 1/2 First column (Absolute Minimum),80,g
Valumark,Setup (g),IMPRINT,Laser,Laser per logo/location,56.25,g
Valumark,Setup (g),OTHER,,Personalization Setup,56.25,g
Valumark,Setup (g),IMPRINT,Deboss,Debossed per logo/location,100,g
Valumark,Setup (g),IMPRINT,Print,Print per location/color,56.25,g
Valumark,Setup (g),IMPRINT,Vinyl,Vinyl/Dome,56.25,g
Valumark,Setup (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Valumark,Setup (g),OTHER,,ColorSplash,56.25,g
Valumark,Setup (g),OTHER,,Embroidery (up to 7500 stiches) $20 per 1000st thereafter,100,g
Valumark,Setup (g),OTHER,,Color Change,25,g
Valumark,Repeat (g),IMPRINT,Laser,Laser per logo/location,25,g
Valumark,Repeat (g),IMPRINT,Laser,Personalization (laser),25,g
Valumark,Repeat (g),IMPRINT,Deboss,Deboss,25,g
Valumark,Repeat (g),IMPRINT,Print,Print per location/color,25,g
Valumark,Repeat (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Valumark,Repeat (g),IMPRINT,Vinyl,Vinyl panel or dome (Full color),25,g
Valumark,Repeat (g),OTHER,,ColorSplash,25,g
Valumark,Repeat (g),IMPRINT,Print,Color Change,25,g
Valumark,Repeat (g),IMPRINT,Embroidery,Embroidery,0,g
Valumark,Additional Color / Locations,OTHER,,Laser,0.4,g
Valumark,Additional Color / Locations,OTHER,,Oxidation,0.25,g
Valumark,Additional Color / Locations,IMPRINT,Laser,Personalization (laser),1,g
Valumark,Additional Color / Locations,IMPRINT,Etched,Crystal,8,g
Valumark,Additional Color / Locations,IMPRINT,Deboss,Deboss,0.4,g
Valumark,Additional Color / Locations,IMPRINT,Vinyl,Vinyl/Dome,0.4,g
Valumark,Additional Color / Locations,IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),1.25,g
Valumark,Additional Color / Locations,OTHER,,Print - Logomark,0.4,g
Valumark,Additional Color / Locations,IMPRINT,Print,Print - Valumark,0.25,g
Valumark,Additional Color / Locations,OTHER,,ColorSplash,0.4,g
Valumark,Additional Color / Locations,IMPRINT,Embroidery,Embroidery (per 1000 stiches min 7500 stiches),0.3,g
Valumark,Miscellaneous (g),OTHER,,Insertion Charge,0.25,g
Valumark,Miscellaneous (g),OTHER,,Less Than Minimum 1/2 First column (Absolute Minimum),50,g
Valumark,Miscellaneous (g),OTHER,,Less Than Minimum Transfers,100,g
Valumark,Miscellaneous (g),OTHER,,Art Proof (after 1st proof),10,g
Valumark,Miscellaneous (g),OTHER,,Custom Die Charge,175,g
Valumark,Miscellaneous (g),OTHER,,Pre-Production Proof,50,g
Valumark,Miscellaneous (g),OTHER,,Art - Cleanup per 1/2 hour or typeset,25,g
Valumark,Miscellaneous (g),OTHER,,Label Application,0.15,g
Valumark,Miscellaneous (g),OTHER,,Hangtag,0.15,g
Valumark,Miscellaneous (g),OTHER,,Kitting per item per kit,0.25,g
Valumark,Miscellaneous (g),OTHER,,Polybag,0.25,g
Valumark,Miscellaneous (g),OTHER,,Drop Ship,6.25,g
Valumark,Miscellaneous (g),OTHER,,AD24 Rush Less Than Minimum 1/2 First column (Absolute Minimum),80,g
Ensemble,Setup (g),IMPRINT,Laser,Laser per logo/location,56.25,g
Ensemble,Setup (g),OTHER,,Personalization Setup,56.25,g
Ensemble,Setup (g),IMPRINT,Deboss,Debossed per logo/location,100,g
Ensemble,Setup (g),IMPRINT,Print,Print per location/color,56.25,g
Ensemble,Setup (g),IMPRINT,Vinyl,Vinyl/Dome,56.25,g
Ensemble,Setup (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Ensemble,Setup (g),OTHER,,ColorSplash,56.25,g
Ensemble,Setup (g),OTHER,,Embroidery (up to 7500 stiches) $20 per 1000st thereafter,100,g
Ensemble,Setup (g),OTHER,,Color Change,25,g
Ensemble,Repeat (g),IMPRINT,Laser,Laser per logo/location,25,g
Ensemble,Repeat (g),IMPRINT,Laser,Personalization (laser),25,g
Ensemble,Repeat (g),IMPRINT,Deboss,Deboss,25,g
Ensemble,Repeat (g),IMPRINT,Print,Print per location/color,25,g
Ensemble,Repeat (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Ensemble,Repeat (g),IMPRINT,Vinyl,Vinyl panel or dome (Full color),25,g
Ensemble,Repeat (g),OTHER,,ColorSplash,25,g
Ensemble,Repeat (g),IMPRINT,Print,Color Change,25,g
Ensemble,Repeat (g),IMPRINT,Embroidery,Embroidery,0,g
Ensemble,Additional Color / Locations,OTHER,,Laser,0.4,g
Ensemble,Additional Color / Locations,OTHER,,Oxidation,0.25,g
Ensemble,Additional Color / Locations,IMPRINT,Laser,Personalization (laser),1,g
Ensemble,Additional Color / Locations,IMPRINT,Etched,Crystal,8,g
Ensemble,Additional Color / Locations,IMPRINT,Deboss,Deboss,0.4,g
Ensemble,Additional Color / Locations,IMPRINT,Vinyl,Vinyl/Dome,0.4,g
Ensemble,Additional Color / Locations,IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),1.25,g
Ensemble,Additional Color / Locations,OTHER,,Print - Logomark,0.4,g
Ensemble,Additional Color / Locations,IMPRINT,Print,Print - Valumark,0.25,g
Ensemble,Additional Color / Locations,OTHER,,ColorSplash,0.4,g
Ensemble,Additional Color / Locations,IMPRINT,Embroidery,Embroidery (per 1000 stiches min 7500 stiches),0.3,g
Ensemble,Miscellaneous (g),OTHER,,Insertion Charge,0.25,g
Ensemble,Miscellaneous (g),OTHER,,Less Than Minimum 1/2 First column (Absolute Minimum),50,g
Ensemble,Miscellaneous (g),OTHER,,Less Than Minimum Transfers,100,g
Ensemble,Miscellaneous (g),OTHER,,Art Proof (after 1st proof),10,g
Ensemble,Miscellaneous (g),OTHER,,Custom Die Charge,175,g
Ensemble,Miscellaneous (g),OTHER,,Pre-Production Proof,50,g
Ensemble,Miscellaneous (g),OTHER,,Art - Cleanup per 1/2 hour or typeset,25,g
Ensemble,Miscellaneous (g),OTHER,,Label Application,0.15,g
Ensemble,Miscellaneous (g),OTHER,,Hangtag,0.15,g
Ensemble,Miscellaneous (g),OTHER,,Kitting per item per kit,0.25,g
Ensemble,Miscellaneous (g),OTHER,,Polybag,0.25,g
Ensemble,Miscellaneous (g),OTHER,,Drop Ship,6.25,g
Ensemble,Miscellaneous (g),OTHER,,AD24 Rush Less Than Minimum 1/2 First column (Absolute Minimum),80,g
Crystal,Setup (g),OTHER,,Crystal,56.25,g
Crystal,Setup (g),OTHER,,Laser or print per logo/color,56.25,g
Crystal,Art,OTHER,,Per 1/2 hour to clean and adjust,25,g
Crystal,Art,OTHER,,To typeset copy,25,g
Crystal,Repeat (g),OTHER,,Repeat crystal etch per logo/location,25,g
Crystal,Additional Color / Locations,OTHER,,Second location etch/laser,8,g
Crystal,Personalization,OTHER,,Personalization Setup,56.25,g
Crystal,Personalization,OTHER,,Per piece personalization,8,g
Crystal,Personalization,OTHER,,We accept any True Type Fonts for Customized Decoration,0,g
Crystal,Pre-Production Proof,OTHER,,Product Proof (plus setup and cost of item),50,g
Crystal,Less Than Minimum,OTHER,,Full Color Transfer (250 piece minimum),120,g
Crystal,Color Fill,OTHER,,Color fill per color/location,8,g
Crystal,Color Fill,OTHER,,Please allow 3-4 business days additional production time.,0,g
Crystal,Color Fill,OTHER,,"Standard Colors: Black,Gold,Silver,White,Process Blue,Navy Blue,Purple,Red,Orange,Yellow,Green",0,g
Crystal,Please Note,OTHER,,"Due to the hand-cut craftsmanship of optical crystal, each piece will slightly vary. Each size, weight and shape cannot be guaranteed.",0,g
Crystal,Please Note,OTHER,,All crystal products must be handled carefully to prevent surface scratches.,0,g
Sovrano,Setup (g),IMPRINT,Laser,Laser per logo/location,56.25,g
Sovrano,Setup (g),OTHER,,Personalization Setup,56.25,g
Sovrano,Setup (g),IMPRINT,Deboss,Debossed per logo/location,100,g
Sovrano,Setup (g),IMPRINT,Print,Print per location/color,56.25,g
Sovrano,Setup (g),IMPRINT,Vinyl,Vinyl/Dome,56.25,g
Sovrano,Setup (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Sovrano,Setup (g),OTHER,,ColorSplash,56.25,g
Sovrano,Setup (g),OTHER,,Embroidery (up to 7500 stiches) $20 per 1000st thereafter,100,g
Sovrano,Setup (g),OTHER,,Color Change,25,g
Sovrano,Repeat (g),IMPRINT,Laser,Laser per logo/location,25,g
Sovrano,Repeat (g),IMPRINT,Laser,Personalization (laser),25,g
Sovrano,Repeat (g),IMPRINT,Deboss,Deboss,25,g
Sovrano,Repeat (g),IMPRINT,Print,Print per location/color,25,g
Sovrano,Repeat (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Sovrano,Repeat (g),IMPRINT,Vinyl,Vinyl panel or dome (Full color),25,g
Sovrano,Repeat (g),OTHER,,ColorSplash,25,g
Sovrano,Repeat (g),IMPRINT,Print,Color Change,25,g
Sovrano,Repeat (g),IMPRINT,Embroidery,Embroidery,0,g
Sovrano,Additional Color / Locations,OTHER,,Laser,0.4,g
Sovrano,Additional Color / Locations,OTHER,,Oxidation,0.25,g
Sovrano,Additional Color / Locations,IMPRINT,Laser,Personalization (laser),1,g
Sovrano,Additional Color / Locations,IMPRINT,Etched,Crystal,8,g
Sovrano,Additional Color / Locations,IMPRINT,Deboss,Deboss,0.4,g
Sovrano,Additional Color / Locations,IMPRINT,Vinyl,Vinyl/Dome,0.4,g
Sovrano,Additional Color / Locations,IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),1.25,g
Sovrano,Additional Color / Locations,OTHER,,Print - Logomark,0.4,g
Sovrano,Additional Color / Locations,IMPRINT,Print,Print - Valumark,0.25,g
Sovrano,Additional Color / Locations,OTHER,,ColorSplash,0.4,g
Sovrano,Additional Color / Locations,IMPRINT,Embroidery,Embroidery (per 1000 stiches min 7500 stiches),0.3,g
Sovrano,Miscellaneous (g),OTHER,,Insertion Charge,0.25,g
Sovrano,Miscellaneous (g),OTHER,,Less Than Minimum 1/2 First column (Absolute Minimum),50,g
Sovrano,Miscellaneous (g),OTHER,,Less Than Minimum Transfers,100,g
Sovrano,Miscellaneous (g),OTHER,,Art Proof (after 1st proof),10,g
Sovrano,Miscellaneous (g),OTHER,,Custom Die Charge,175,g
Sovrano,Miscellaneous (g),OTHER,,Pre-Production Proof,50,g
Sovrano,Miscellaneous (g),OTHER,,Art - Cleanup per 1/2 hour or typeset,25,g
Sovrano,Miscellaneous (g),OTHER,,Label Application,0.15,g
Sovrano,Miscellaneous (g),OTHER,,Hangtag,0.15,g
Sovrano,Miscellaneous (g),OTHER,,Kitting per item per kit,0.25,g
Sovrano,Miscellaneous (g),OTHER,,Polybag,0.25,g
