Item# (SKU),Item Name,Special Name,Sale?,Sale Qty,Sale Price,Sale Code,Sale Expires
CLRNBKSK,Coolrunning Backsack,New Products,,,0,,
CLRNBKSK,Coolrunning Backsack,Color Surge,,,0,,
CLRSTYKC,Clear Style Key Chain,Exclusives,,,0,,
CLRSTYKC,Clear Style Key Chain,Color Surge,,,0,,
CLRTOTBG,Clear Through Tote Bag,New Products,,,0,,
COBRAPN,Cobra Pen,New Products,,,0,,
COBRAPN,Cobra Pen,Under  1,,,0,,
COLDUF_CL,Coliseum Duffel Bag - Closeout,Closeouts,Y,50,7.19,C,
COLKKLR,Collapsible Foam Kan Cooler,Always Available,,,0,,
COLKKLR,Collapsible Foam Kan Cooler,Under  1,,,0,,
COLKKLR,Collapsible Foam Kan Cooler,Best Sellers,Y,250,0.79,C,
COLKONE,Collapsible Foam Kan Cooler,Always Available,,,0,,
COLKONE,Collapsible Foam Kan Cooler,Under  1,,,0,,
COLKONE,Collapsible Foam Kan Cooler,Color Surge,,,0,,
COLKONE,Collapsible Foam Kan Cooler,Best Sellers,Y,250,0.55,C,
COLRNKT,Cool Run Kit,New Products,,,0,,
COMJOTPN,Composition Jotter Pad w/ Pen,Color Surge,,,0,,
COMJOTPN,Composition Jotter Pad w/ Pen,Best Sellers,Y,150,1.29,C,
COMMTOT,Commuter Tote Bag,Color Surge,,,0,,
COMMTOT,Commuter Tote Bag,Best Sellers,Y,100,4.79,C,
CONCORD,Concord Pen,Under  1,,,0,,
CONCORD,Concord Pen,Best Sellers,Y,500,0.45,C,
COPERCSE,Cooper Tablet Case,Best Sellers,Y,80,6.49,C,
CORDKPR,Cord Keeper,Exclusives,,,0,,
CORDKPR,Cord Keeper,Under  1,,,0,,
CORDKPR,Cord Keeper,Color Surge,,,0,,
CORDKPR,Cord Keeper,Best Sellers,Y,250,0.79,C,
CORKSLV,Corky Tablet Sleeve,New Products,,,0,,
CORKSLV,Corky Tablet Sleeve,Color Surge,,,0,,
COZYCASE_CL,Cozy Case - Closeout,Closeouts,Y,150,0.54,C,
CRDLSO,Cord Lasso,Exclusives,,,0,,
CRDLSO,Cord Lasso,Under  1,,,0,,
CRDLSO,Cord Lasso,Best Sellers,Y,500,0.79,C,
CRESTEX,Executive Crescent Padfolio,Always Available,,,0,,
CRESTEX,Executive Crescent Padfolio,Best Sellers,Y,60,7.99,C,
CRESTJR,Jr. Executive Crescent Padfolio,Always Available,,,0,,
CRESTJR,Jr. Executive Crescent Padfolio,Best Sellers,Y,80,4.79,C,
CRSCALEX,Executive Crescent Calculator Padfolio,Best Sellers,Y,60,9.99,C,
CRSCALJR,Jr. Executive Crescent Calculator Padfolio,Best Sellers,Y,80,6.99,C,
CRWNGRPT_CL,Crown Grip Pen - Closeout,Closeouts,Y,1000,0.24,C,
CSTCK,Crown Stick Pen,Under  1,,,0,,
CSTCK,Crown Stick Pen,Best Sellers,Y,1000,0.22,C,
CSTCKS,Crown Stick Pen Solid,Under  1,,,0,,
CSTCKS,Crown Stick Pen Solid,Best Sellers,Y,1000,0.22,C,
CUBELEDK_CL,Cube LED Key Light - Closeout,Closeouts,Y,250,0.99,C,
CYCLONE,Cyclone Fan,Best Sellers,Y,250,1.29,C,
DBLSQBPK,Double Square Drawstring,Color Surge,,,0,,
DBLSQBPK_CL,Double Square Drawstring - Closeout,Closeouts,Y,100,3.86,C,
DBLSTBPK,Double Stripe Back Pack,Color Surge,,,0,,
DBLTKDS,Double Take Drawstring,Color Surge,,,0,,
DBLVISN,Double Vision Key Light,Color Surge,,,0,,
DBLVISN,Double Vision Key Light,Best Sellers,Y,250,1.59,C,
DBLWVSB,Double Wave Screen Cleaner,Best Sellers,Y,250,1.25,C,
DESINTMB,Design Tumbler,New Products,,,0,,
DESINTMB,Design Tumbler,Exclusives,,,0,,
DESKBOX,Desk in a Box,Always Available,,,0,,
DESKBOX,Desk in a Box,Color Surge,,,0,,
DESKBOX,Desk in a Box,Best Sellers,Y,100,2.89,C,
DESMBPCK,Design Mobile Pocket,New Products,,,0,,
DESMBPCK,Design Mobile Pocket,Exclusives,,,0,,
DIAMTMB,Diamond Tumbler,New Products,,,0,,
DIAMTMB,Diamond Tumbler,Exclusives,,,0,,
DIVAPN,Diva Pen,Best Sellers,Y,150,1.89,C,
DIVOTFXR,Divot Ball Marker,Under  1,,,0,,
DIVOTFXR,Divot Ball Marker,Best Sellers,Y,500,0.65,C,
DIXIEMUG,28oz. Dixie Mug,New Products,,,0,,
DLXPICCL,Deluxe Picnic Cooler Bag,Color Surge,,,0,,
DRAWBKSK,Drawstring Backsack,Always Available,,,0,,
DRAWBKSK,Drawstring Backsack,Color Surge,,,0,,
DRAWBKSK,Drawstring Backsack,Best Sellers,Y,150,1.69,C,
DRAWSPRT,Drawstring Sport Pack,Always Available,,,0,,
DRAWSPRT,Drawstring Sport Pack,Color Surge,,,0,,
DRAWSWNW,Swoosh Non-Woven Drawstring,Exclusives,,,0,,
DRAWSWNW,Swoosh Non-Woven Drawstring,Color Surge,,,0,,
DRAWSWNW,Swoosh Non-Woven Drawstring,Best Sellers,Y,150,1.79,C,
DREMJRNL_CL,Dream Journal - Closeout,Closeouts,Y,150,1.98,C,
DRENBTL,Drench Water Bottle,New Products,,,0,,
DRENBTL,Drench Water Bottle,Exclusives,,,0,,
DRYITTWL,Dry It Towel,New Products,,,0,,
DSKMIR,Desk Mirror,Under  1,,,0,,
DSKMIR,Desk Mirror,Color Surge,,,0,,
DSKMIR,Desk Mirror,Best Sellers,Y,250,0.89,C,
EARMEDIA,Ear Bud Media Stand,Exclusives,,,0,,
EARMEDIA,Ear Bud Media Stand,Color Surge,,,0,,
ECOCLK_CL,Econo Click Pen - Closeout,Closeouts,Y,500,0.32,C,
EDISON_CL,Edison Pen - Closeout,Closeouts,Y,150,0.8,C,
ELLISTPN,Elliptic Stylus Pen,New Products,,,0,,
ELLISTPN,Elliptic Stylus Pen,Under  1,,,0,,
ELLSWORT,Ellsworth Tablet Padfolio,Exclusives,,,0,,
ELRYKYLT,Elroy Key Light,New Products,,,0,,
ENDUTRIT,17oz. Endurance Tritan  Bottle,Color Surge,,,0,,
ESQPEN,Esquire Pen,Best Sellers,Y,150,1.75,C,
EVERYSHP_CL,Everyday Shopper - Closeout,Closeouts,Y,150,1.99,C,
EVERYTOT,Everything Tote,New Products,,,0,,
EVERYTOT,Everything Tote,Color Surge,,,0,,
EXECBAND,Exercise Bands,Best Sellers,Y,100,3.39,C,
