itemno,productCode,productname,category,subcategory,year_new,iscloseout,Origin,ISGreen,leadtime(days),productdescription,packaging,setupCharge,productcolors,imprintmethods,primary_imprint_area,Primary_Imprint_method,Primary_imprint_location,Primary_imprint_height,Primary_imprint_width,keywords,productimageURL,ProductThumbnailURL,PriceCode,Minimum,Column_1_Max,Price1,Column_2_min,Column_2_max,Price2,Column_3_min,Column_3_max,price3,column_4_min,Column_4_max,Price4,PiecesPerBox,BoxLBS,BoxLength,BoxWidth,BoxHeight,Item_Height,Item_Width,Item_Depth,ItemWeightLbs
1278,BBQ28,5pc BBQ Set(Bamboo) in Roll-Up Case,HomeStyles,BBQ,2008,N,China,Y,3,"Implements made with FDA compliant Stainless, Bamboo handles with comfortable hand grips, 600D Nylon zippered case, Elegant Bamboo set with spatula, fork, tongs, silicone basting brush, grill brush,",Polybag,$55.00(G)/color,Yellow,"Geo-Panel, Laser Engraving, Silkscreen","2""h x 3""w ",Silkscreen,Front Pocket,2,3,"Geo-Panel | Case | Made | HomeStyles | Laser | Engraving | Barbecue | Barbeque | grilling | Tool | Tools | Silicon | or | Roll-Up | process) | Grill | 4 | Lifestyles | are | Handles | on | Utensils | Sets | location | Set(Bamboo | Color | Only | Fork, | Fork | Stainless | up | 1278 | Silicone | 5 | Screen | (G)/color/patch | Includes | one | Handwash | Silkscreen | to | Implements | with | $50.00 | Hand | Set-Up) | Strap | Spatula, | Grips | 5pc | Brush, | Ensemble | Pour | Shoulder | BBQ28 | Color | Set(Bamboo) | BBQ | (PermaPatch: | Time | Bamboo | Basting | Brush | Zippered | (up | spatula | Elegant | $0.50 | FDA | Set | In | Yellow | Adjustable | Tongs, | Comfortable | (G)/unit | 600D | Tongs | Standard | Nylon |  | Roll | sauce | Compliant | PermaPatch |",http://ca.starline.com/content/image/product/pp_1278.jpg,http://ca.starline.com/content/image/product/tn_1278.jpg,4C                         ,18,35,31.39,36,71,30.39,72,143,29.39,144,249,27.39,12,35,18,16,15,4.75,17,4.75,2.916666667
1281,KS02,Premium Steak Knife Set,HomeStyles,Knives/Boards,2005,N,China,N,3,"Magnetic latch on elegant Oak presentation case, Triple Riveted Manchurian Ash handles, Includes 6 premium steak knives, Utensils made with FDA compliant material,",Gift Box,$55.00 (G),Wood,Laser Engraving," 3/4""h x 2""w ",Laser Engraving,Aluminum Plate,0.75,2,Hand | material | Made | with | 6 | Ash |  | Riveted | Wash | HomeStyles | Oak | Engraving | (G) | caser | KS02 | Set | Includes | Aluminum | Laser | Knife | Handled | Presentation | Knives/Boards | Utensils | Magnetic | Steak | Plate | Only | Handles | Knives | Manchurian | FDA | Wooden | $50.00 | Compliant | Recommended | 1281 | Case | Elegant | Ensemble | Premium | Wood | latch | on | HomeStylesª | Triple |,http://ca.starline.com/content/image/product/pp_1281.jpg,http://ca.starline.com/content/image/product/tn_1281.jpg,4C                         ,6,11,62.69,12,35,60.77,36,71,58.84,72,99,54.99,10,37,17,13,12,1.75,5.25,15,3.7
1282,KS03,Premium 8 Piece Knife Block,HomeStyles,Knives/Boards,2005,N,China,N,3,"Includes paring blade, filet blade, bread blade, carving blade, chopping blade, blade sharpener and meat shears, Stainless Steel knives, Utensils made with FDA compliant material, Triple riveted Manchurian Ash handles and coordinating wooden block, Includes diamond finish butcher steel,",Gift Box,$55.00(G),Wood,Laser Engraving," 5/8""h x 1 3/4""w ",Laser Engraving,Aluminum Plate,0.625,1.75,"Ash | carving | material | with | Made | Pour | Diamond | Sharpener | Stainless | Shears | Plate | Knife | Finish | HomeStyles | Chopping | Blade | Handled | Utensils | Handles | Knives | on | Wooden | blade, |  | Paring | Recommended | piece | $50.00 | KS03 | blade, | Wood | blade, | Filet | Only | Triple | Premium | Coordinating | ""Hand | 8 | Bread | Wash"" | steel | Manchurian | and | Riveted | Knives/Boards | Block | Meat | Butcher | blade, | (G) | 7 | Engraving | 1282 | FDA | Includes | Compliant | blade, | Laser | Aluminum |",http://ca.starline.com/content/image/product/pp_1282.jpg,http://ca.starline.com/content/image/product/tn_1282.jpg,4C                         ,6,11,105.09,12,35,102.07,36,71,99.04,72,99,92.99,6,43,17,16,16,13,11,4.75,7.166666667
1284,KS05,Premium Carving Set,HomeStyles,Knives/Boards,2005,N,China,N,3,"Magnetic latch on elegant Oak presentation case, Utensils made with FDA compliant material, Triple Riveted Manchurian Ash handles, Includes premium carving knife and fork,",Gift Box,$55.00 (G),Wood,Laser Engraving," 3/4""h x 2""w ",Laser Engraving,Aluminum Plate,0.75,2,"Made | with | material | 1284 | Handles | Knives | Recommended | Premium | latch | on | FDA | Includes | Aluminum | Ensemble | carving | and | (G) | Ash | Plate |  | Magnetic | Set | Manchurian | Fork | Handled | caser | Wooden | HomeStyles | Compliant | ""Hand | Knife | $50.00 | Elegant | Knives/Boards | HomeStylesª | Riveted | Only | Oak | KS05 | Wash"" | Triple | Wood | Case | Engraving | Laser | Presentation | Utensils |",http://ca.starline.com/content/image/product/pp_1284.jpg,http://ca.starline.com/content/image/product/tn_1284.jpg,4C                         ,12,24,45.89,25,49,44.42,50,99,42.94,100,249,39.99,12,29,15,13,10,1.625,4,13.375,2.416666667
1285,KS06,Bamboo Cutting Board with Knives,HomeStyles,Knives/Boards,2005,N,China,Y,3,"Utensils made with FDA compliant material, Convenient drawer with 5 Rosewood handled knives, Includes paring blade, filet blade, carving blade, bread blade and chopping blade with Rosewood handles, Bamboo cutting board,",Gift Box,$55.00(G),Bamboo,Laser Engraving,"1""h x 2""w ",Laser Engraving,Bottom Right Corner,1,2,"FDA | Made | material | Cutting |  | Knife | Compliant | Blade | with | 5 | Bamboo | one | HomeStyles | Utensils | Bread | blade, | Rosewood | Chopping | (G)/unit | Drawer | Location: | 1285 | blade, | Natural | location. | Handled | Paring | Blade | Knives/Boards | Filet | carving | on | KS06 | and | (G) | Engraving | Handles | Addititional | $1.20 | Laser | Knives | Convenient | Wood | $50.00 | blade, | Includes | Board |",http://ca.starline.com/content/image/product/pp_1285.jpg,http://ca.starline.com/content/image/product/tn_1285.jpg,4C                         ,6,11,79.19,12,35,76.89,36,71,74.59,72,99,69.99,4,31,16,12,10,2,10.75,14.5,7.75
1286,KS17,Connoisseur Steak Knife Set,HomeStyles,Knives/Boards,2008,N,China,N,3,"Hardwood block housing, 6 premium Stainless Steel knives with rubber grip handles, Utensils made with FDA compliant material,",Gift Box,$55.00(G),Black,Laser Engraving," 3/4""h x 2""w ",Laser Engraving,Aluminum Plate,0.75,2,"material | Made | Utensils | Recommended | (G) | Engraving | Knives/Boards | Aluminum | Laser | KS17 | Stainless | Plate | Black | Connoisseur | Knife | Ensemble | steel | with | Steak | Knives | Handled | FDA | Wooden | ""Hand | on | Grip | Set | Hardwood | Compliant | $50.00 | Rubber | Block | 6 |  | HomeStyles | Wash"" | Housing | 1286 | Only | Handles | Includes | Premium |",http://ca.starline.com/content/image/product/pp_1286.jpg,http://ca.starline.com/content/image/product/tn_1286.jpg,4C                         ,12,24,37.89,25,49,36.67,50,99,35.44,100,249,32.99,12,38,17,15,12,10.25,4.625,3.125,3.166666667
1287,KS07,Carving Set,HomeStyles,Knives/Boards,2006,N,China,N,3,"Wood grain presentation case, Triple riveted Manchurian Ash handles, Utensils made with FDA compliant material, Includes Stainless Steel carving knife and fork,",White Gift Box,$55.00 (G),Wood,Laser Engraving," 3/4""h x 2""w ",Laser Engraving,Aluminum Plate,0.75,2,"Knives | Case | material | Made | with | Handles | Silver | Wash"" | ""Hand | Ash | Grain | 1287 | Ensemble | steel | Wood | KS07 | Engraving | Aluminum | HomeStylesª | Fork | Triple | and | $50.00 | Plate | Stainless | Includes | HomeStyles | (G) | carving | Utensils | Presentation | Wooden | Riveted | Only |  | on | Compliant | Manchurian | Set | Laser | Knife | Handled | Recommended | Knives/Boards | FDA |",http://ca.starline.com/content/image/product/pp_1287.jpg,http://ca.starline.com/content/image/product/tn_1287.jpg,4C                         ,24,47,26.39,48,95,25.54,96,243,24.69,244,499,22.99,20,33,20,16,12,1.75,4,14.125,1.65
1288,KS08,Steak Knife Set,HomeStyles,Knives/Boards,2006,N,China,N,3,"Wood grain presentation case, Utensils made with FDA compliant material, 6 oversized ""Steakhouse"" design knives, Stainless Steel with triple riveted Manchurian Ash handles,",Gift Box,$55.00 (G),Wood,Laser Engraving," 3/4""h x 2""w ",Laser Engraving,Aluminum Plate,0.75,2,"Presentation | Made | material | Only | Knives |  | Includes | Steak | Grain | 1288 | Knives/Boards | KS08 | Plate | with | Handled | ""Steakhouse | Wooden | Compliant | Wood | Ash | Riveted | $50.00 | ""Steakhouse"" | Wash"" | Case | Engraving | Utensils | 6 | Triple | Set | Laser | Manchurian | ""Hand | Recommended | FDA | Stainless | Materials | Design | Aluminum | Knife | Ensemble | (G) | on | steel | Oversized | Handles | HomeStyles |",http://ca.starline.com/content/image/product/pp_1288.jpg,http://ca.starline.com/content/image/product/tn_1288.jpg,4C                         ,12,24,36.39,25,49,35.22,50,99,34.04,100,249,31.69,12,38,15,12,15,2,6,10.75,3.166666667
1300,NC03,Niagara Cutlery Steak Knife Set,HomeStyles,Knives/Boards,2004,N,China,N,3,"Stainless Steel blades with triple riveted Rosewood handles, Utensils made with FDA compliant material, Oversized ""Steakhouse"" design, Includes imprint on all utensils,","Two-tone Gift Case; Optional Gift Box Laser Engraving. Imprint Area: 1""h x 2""w",$55.00(G),Wood,Laser Engraving," 1/2""h x 1 1/2""w ",Laser Engraving,Knives,0.5,1.5,"Steakhouse | Made | material | (G) | Ensemble | Knives | plus | Utensils | Rosewood | Handwash | Knives/Boards | with | Riveted | Stainless | w | Only | Set | Riveted&lt;br&gt;Rosewood | blades | Handles | ""Steakhouse | Engraving | Cutlery | 1"" | Design | Niagara | Wood | Knife | FDA |  | Set-Up | h | one | HomeStyles | Compliant | Includes | Handled | (G)/unit. | Steak | x | Wooden | Area: | 1300 | Components | Recommended | NC03 | location/all | Triple | $50.00 | Oversized | Laser | on | steel | All | Imprint | $1.20 | 2"" |",http://ca.starline.com/content/image/product/pp_1300.jpg,http://ca.starline.com/content/image/product/tn_1300.jpg,4C                         ,18,35,37.59,36,71,36.39,72,143,35.19,144,249,32.79,12,27,12,12,13,1.5,5.125,10.5,2.25
1301,NC02,Niagara Cutlery Carving Set,HomeStyles,Knives/Boards,2004,N,China,N,3,"Includes carving fork, carving blade and sharpener, Stainless Steel blades with Rosewood handles, Utensils made with FDA compliant material, Includes imprint on knife and fork,","Two-tone Gift Case; Optional Gift Box Laser Engraving. Imprint Area: 1""h x 2""w",$55.00(G),Wood,Laser Engraving," 1/2""h x 1 1/2""w ",Laser Engraving,Knife & Fork (s),0.5,1.5,"Knives | material | Made | FDA | HomeStyles | Includes | with | Knife | Triple | Utensils | Stainless | Blade | Handwash | Only | plus | Handled | (G) | on | Rosewood | Fork |  | Fork, | Niagara | Set-Up | Components | 1"" | Engraving | Set | Cutlery | Ensemble | Laser | location/all | one | Sharpener | x | h | Compliant | and | $50.00 | blades | HomeStylesª | (G)/unit. | $1.20 | w | Wooden | NC02 | carving | Knives/Boards | 2"" | Wood | Area: | 1301 | steel | Imprint | Recommended | Handles |",http://ca.starline.com/content/image/product/pp_1301.jpg,http://ca.starline.com/content/image/product/tn_1301.jpg,4C                         ,24,47,29.19,48,95,28.27,96,243,27.34,244,499,25.49,12,25,16,13,13,1.5,5.75,14.5,2.083333333
1319,NC09,Eco BBQ Set,HomeStyles,BBQ,2010,N,China,Y,3,"All neatly packaged in a 100% recycled cardboard cylinder with recycled paper stuffing, Constructed of Stainless Steel and Bamboo, Includes fork, spatula, tongs and 20 wooden skewers, Package suitable for mailing , Eco-friendly sets come complete with utensils made with FDA compliant materials,",100% recycled cardboard cylinder,$55.00 (G),"Wood, Wood","Digital Laminate Panel, Silkscreen","2""h x 2""w ",Silkscreen,Front,2,2,Set | stuffing | spatula | Package | Materials | Made | Barbeque | Barbecue | Grill | grilling | Tool | Tools | Complete | Suitable | 100 |  | Wooden | Kitchen | Packaged | steel | Includes | Wood | neatly | Recycled | FDA | Eco | Lifestyles | BBQ | Silkscreen | All | cardboard | Fork | Bamboo | Tongs | For | cylinder | 1319 | Ensemble | Utensils | Compliant | NC09 | Skewers | Panel | Laminate | come | 20 | paper | Accessories | corrugated | Digital | constructed | Eco-friendly | Mailing | 1319;NC09 | HomeStyles | Sets | with | of | In | Stainless | and | a | Recycled |,http://ca.starline.com/content/image/product/pp_1319.jpg,http://ca.starline.com/content/image/product/tn_1319.jpg,4C                         ,25,49,19.29,50,99,18.67,100,249,18.04,250,499,16.79,25,38,17,17,17,14.5,3.125,3.125,1.52
1324,NC14,Eco Utensil Set,HomeStyles,Kitchen Accessories,2010,N,China,Y,3,"Eco-friendly sets come complete with utensils made with FDA compliant material, Package suitable for mailing , Constructed of Bamboo, All neatly packaged in a 100% recycled cardboard cylinder with recycled paper stuffing, Includes serving spoon, strainer spoon and spatula,",100% recycled cardboard cylinder,$55.00 (G),"Wood, Wood","Silkscreen, Digital Laminate Panel","2""h x 2""w ",Silkscreen,Front,2,2,Accessories | Kitchen | material | Made | All | and | cylinder | Sets | stuffing | Strainer | Knives/Boards | steel | constructed | Laminate | Compliant | 100 | Complete | Wood | Recycled | of | Eco | Set | Panel | Includes | FDA | Ensemble | Silkscreen | Utensil | Eco-friendly | For | neatly | Bamboo | 1324;NC14 | HomeStyles | NC14 | Serving | a |  | Suitable | Utensils | corrugated | Spoon | Service | come | with | Digital | Recycled | Stainless | Package | paper | Mailing | In | 1324 | Spoon | spatula | cardboard | Packaged |,http://ca.starline.com/content/image/product/pp_1324.jpg,http://ca.starline.com/content/image/product/tn_1324.jpg,4C                         ,25,49,18.89,50,99,18.29,100,249,17.69,250,499,16.49,25,19,17,17,17,14.5,3.125,3.125,0.76
