main_color,px_color1,px_color2,px_color3
translucent neon yellow-green or translucent blue.,Yellow,Blue,
translucent orange,Orange,,
translucent pink,Pink,,
translucent purple,Purple,,
translucent purple or translucent red with chrome clip and black grip.,Purple,Red,
translucent red,Red,,
translucent red or silver with silver trim and white LED light.,Red,Silver,
translucent red or silver. *White imprint is recommended on all translucent colors.,Red,Silver,
translucent red or translucent yellow with clear trim.,Red,Yellow,Clear
translucent red or white with black or blue trim.,Red,White ,Black
translucent red or white with red LED light.,Red,White,
translucent red or white.,Red,White,
translucent yellow barrel and cap or white barrel with black or blue cap. *Check with factory on imprint colors that work best on translucent colors.,Yellow,,
translucent yellow or white.,Yellow,,
white or silver with white LED light.,White,,
white or yellow with black trim or white with blue or red trim.,White,Silver,
white or yellow.,White ,Yellow,
white tips and black ink.,White ,Black,
white/blue,White ,Blue,
white/red,White ,Red,
yellow,Yellow,,
yellow and pink highlighters and caps.,Yellow ,Pink,
yellow trim.,Yellow,,
