main_color,px_color1,px_color2,px_color3
Navy/Yellow,Blue,Yellow,
Neon Green,Green,,
OceanBL,Blue,,
Olive or Sand,Green,Tan/Beige,
Orange,Orange,,
Orange and Clear,Orange,Clear,
Orange and White Stripe,Orange,White,
Orange or Purple,Orange,Purple,
Orange or Red,Orange,Red,
Orange or Royal,Orange,Blue,
Orange or Silver,Orange,Silver,
Orange or Volt Green,Orange,Green,
Orange/White,Orange,White,
Pearl,White,,
Pearl or Titanium,White,Grey,
Pink,Pink,,
Pink and White Stripe,Pink,White,
Pink or Purple,Pink,Purple,
Pink or Red,Pink,Red,
Purple,Purple,,
Purple and Clear or Red and Clear,Purple,Clear,Red
Purple and White Stripe,Purple,White,
Purple or Red,Purple,Red,
Purple or Turquoise,Purple,Blue,
Purple or White,Purple,White,
Purple/White,Purple,White,
Red,Red,,
Red or Red/Black,Red,Black,
Red or Royal,Red,Blue,
Red or Royal Blue,Red,Blue,
Red or Sea Glass,Red,Green,
Red or Silver,Red,Silver,
Red or Tan,Red,Tan/Beige,
Red or Terra Cotta,Red,Brown,
Red or Turquoise,Red,Blue,
Red or White,Red,White,
Red or Yellow,Red,Yellow,
Red/White,Red,White,
Red/White or Royal/White,Red,White,Blue
Red/White or Yellow/White,Red,White ,Yellow
Red/White/Blue,Red,White,Blue
Rose Gold or Silver,Gold,Silver,
Royal,Blue,,
Royal Blue or Silver,Blue,Silver,
Royal Blue or White,Blue,White,
Royal or Royal/White,Blue,White,
Royal or Sage,Blue,Green,
Royal or Silver,Blue,Silver,
Royal or Tan,Blue,Tan/Beige,
Royal or Turquoise,Blue,,
Royal or White,Blue,White,
Royal or Yellow,Blue,Yellow,
Rust,Blue,,
Sand,Tan/Beige,,
Sand or Turquoise,Tan/Beige,Blue,
Sea Glass,Green,,
Silver,Silver,,
Silver Memory Express,Silver,,
Silver or Silver Memory Express,Silver,,
Silver or White,Silver,White,
Sky Blue,Blue,,
Tan,Tan/Beige,,
Tangerine,Orange,,
Tangerine or Violet,Orange,Purple,
Titanium,Grey,,
Turquoise or White,Blue,White,
USA,Multicolor,,
Violet,Purple,,
White,White,,
White or Yellow,White,Yellow,
Wood,Brown,,
Yellow,Yellow,,
