ACCTGUID,ADD1,ADD2,CITY,COMPANYNAME,DCACCTNO,EMAIL,FAX,PHONE,ST,URL,ZIP
A0FB392B-C7AE-11D3-896A-00105A7027AA,210 CARPENTER DAM RD,,HOT SPRINGS,Alliance Rubber Co. aka Ad Bands,100300,areid@ad-bands.com,5012625205,8778416880,AR,www.ad-bands.com,71901-8219
1AC98AD0-0CF5-4C8F-9465-E6D8F0115870,1420 Kansas Ave.,,Kansas City,Allied Products Corporation,461863,gsauerwin@alliedproductsinc.com,8162418881,8162418080,MO,www.alliedflag.com,64127
20D948EB-3D6A-43CD-9B79-24343CDEC463,275 N 950 E,,Lehi,Alpine Innovations,427224,cs4@alpineproducts.com,,8017661931,UT,www.alpineproducts.com,84043
2738D9B3-4D1C-4E71-AD14-E326557000C4,1314 DUFF DR,,FORT COLLINS,Alumicolor,177000,lesa@alumicolor.com,9702827100,9702044200,CO,,80524-2786
A0FB3BB7-C7AE-11D3-896A-00105A7027AA,390 ENTERPRISE DR,,NICHOLASVILLE,American Accents,101273,customerservice@americanaccents.com,8598853805,8882877883,KY,www.americanaccents.com,40356-2299
A0FB3CDE-C7AE-11D3-896A-00105A7027AA,1510 LAMB RD,,WOODSTOCK,American Ad Bag Co.,101523,customerservice@adbag.com,8002495501,8003826844,IL,www.americanadbag.com,60098-9688
A0FB3BB9-C7AE-11D3-896A-00105A7027AA,PO BOX 69,,GREENEVILLE,American Calendar Co.,101287,david@americancalendar.com,4233592010,4233592000,TN,www.americancalendar.com,37744-0069
A0FB3D6A-C7AE-11D3-896A-00105A7027AA,3035 W 47TH ST,,CHICAGO,"American Greenwood, Inc.",100739,customerservice@americangreenwood.com,7736501999,7736501600,IL,www.americangreenwood.com,60632-2557
B22C0FAB-F087-48B9-A6F5-021D9EC56EC5,920-B  113th Street,,Arlington,American National Supply Company/i-Mark,155259,cindy@Imark-Pen.com,8008428221,8173850306125,TX,www.imark-online.com,76011
7622BF4E-94CF-4A54-8273-C5018B08A39C,504 Friendship Drive,,Fleetwood,Amped Image,552419,customerservice@ampedimage.com,,4845754006,PA,www.ampedimage.com,19522
4DAD8DB6-240B-48A1-8A7C-0B7A4E2FB6AD,1308 Old Stickney Pt. Rd W-24,,Sarasota,ANJ Logos LLC,495985,jgolm@anjlogos.com,9415569566,2607503386,FL,anjlogos.com,34242
39EA6068-AB38-4CC3-8C2F-A90B0D1620D5,1626 Harvard Dr,,Madison Heights,Anthis Promotion,622850,amber.yin@anthis-promo.com,,2488859268,MI,www.anthis-promo.com,48071
D1AF840F-6A18-4C2E-8546-0D7A5C508A28,140 Calle Iglesia,,San Clemente,AP Specialties,102825,info@apspecialties.com,9493611371,8662586647,CA,www.apspecialties.com,92672
A0FB3CE6-C7AE-11D3-896A-00105A7027AA,1650 W ARTESIA BLVD,,GARDENA,Apollo/ AMC,101570,sales@apolloemb.com,8889249988,3102172737,CA,www.apolloemb.com,90248-3217
A0FB3C4B-C7AE-11D3-896A-00105A7027AA,11750 12TH AVE S,,BURNSVILLE,Apothecary Products,100525,scarrick@apothecaryproducts.com,,9528088351,MN,www.apiline.com,55337-1297
64FD92B3-0C96-11D4-8970-00105A7027AA,PO BOX 1132,,MAULDIN,Aprons Etc.,101745,info@apronsetc.com,8642819299,8004671996,SC,www.apronsetc.com,29662-1132
A0FB3D6B-C7AE-11D3-896A-00105A7027AA,8825 PAGE AVE,,SAINT LOUIS,"Ariel Premium Supply, Inc.",100746,customerservice@arielpremium.com,3148900695,8002707474,MO,www.arielpremium.com,63114-6105
9DF25D56-20E5-47EA-AEC3-98C788FB8F29,1129 Iron Springs Rd,,Prescott,Arizona Pin Co,589281,Info@arizonapinco.com,,4802820433,AZ,www.arizonapinco.com,86305
F36637D5-7BFC-4043-A580-35ED40FDF698,1405 S ALBERT ST,,ALLENTOWN,Artistic Toy,207422,info@artistictoysmfg.com,4846647796,4847880888,PA,www.artistictoysmfg.com,18103-4141
A0FB3937-C7AE-11D3-896A-00105A7027AA,214 Dolomite Drive,,Toronto,Artmetal Promotional Products,100384,quoteme@promotionalproduct.net,4162522000,4162527177,ON,www.promotionalproduct.net,m3j 2n2
A0FB3CE9-C7AE-11D3-896A-00105A7027AA,65 CORPORATE DR,,HOLTSVILLE,"Artplak Studios, Inc.",101588,kelcey318@yahoo.com,6312891211,6312891222,NY,www.artplak.com,11742-2007
A0FB3BC5-C7AE-11D3-896A-00105A7027AA,35 Orlando,,Richmond Hill,Ash City,101369,customerservices@ashcity.com,8005670534,8007616612,ON,www.ashcity.com,L4B 0B4
54729D79-1C28-427B-9544-6009A823E2C0,2351 Royal Windsor Drive,Unit #10,Mississauga,Ashlin BPG Marketing Inc.,461874,ashlin@ashlinbpg.com,9058557752,9058553027,ON,www.ashlinbpg.com,L5J 4S7
3F5E0F6B-1958-4757-8F3D-8B4E4F0B41F6,PO BOX 10035,,PRESCOTT,Aspenline,300091,lisa.jameson@aspenline.com,8886700950,8889616263,AZ,www.aspenline.com,86304-0035
A0FB3729-C7AE-11D3-896A-00105A7027AA,651 NEW HAMPSHIRE AVE,,Lakewood,Astor Chocolate,100284,corporatesales@astorchocolate.com,7324151140,7329011000,NJ,www.astorline.com,08701-5452
EF160B6B-3952-4AB6-9C64-E3F4A5998CB4,848 N Rainbow Blvd. #662,,Las Vegas,Athena Promo (aka Flash Drive Line),191807,service@athenapromo.com,8772851950,4044188915,NV,www.athenapromo.com,89107
F0B2F0D3-3B25-4257-B279-3D72617953AA,901 PARK RD,,FLEETWOOD,Attachmentville,106404,stephaniem@irisltd.com,6109445867,6109448588,PA,www.attachmentville.com,19522-9465
50D29F5A-2274-425C-8B26-72E7F0CDBA6E,1999 S CAMPUS AVE,,ONTARIO,Atteff International Inc.,110287,sales@atteff.com,8888288335,9099238288,CA,www.atteff.com,91761-5410
20296FA9-142A-4B1C-A27F-AA1B67B05147,2828 20TH AVE N,,ST PETERSBURG,Autoplate,114296,billh@autoplate.net,7273212947,7273215981,FL,www.autoplate.net,33713-4202
15C358E3-87C5-40D2-B2EA-0D51B628A7CF,8230 Miralani,Ste. B,San Diego,Aventa,471462,kari@aventaworld.com,,8582714500,CA,www.aventaworld.com/compresst-shape-gallery/,92126
A0FB390D-C7AE-11D3-896A-00105A7027AA,500 Commerce Way West #4,,Jupiter,"Awards, ETC",100090,awardsetc@aol.com,5617466175,5617466170,FL,www.awardsart.com,33458
C9C1C699-7FB4-49B8-A3EE-3FF15CF82248,9420 Willeo Road #204,,Roswell,Axis Mobile Ventures LLC,552417,mharris@axismv.com,7708379965,6788695182,GA,http://www.axisimagecase.com,30075
6C6FD247-7418-4E61-BD94-CBF5397B6C1E,2215 Kenmore Ave. Suite 100,,Buffalo,AZX Sport,116876,info@aztex.com,9053325509,9053328944,NY,www.azxpromotions.com,142077
A0FB3BD3-C7AE-11D3-896A-00105A7027AA,3401 LIND AVE SW,,RENTON,Baden Sports,101456,tom@badensports.com,2539250570,8005442998,WA,,98057
030DFCA3-48FC-48FE-ABF4-9E2AF6A9AF1D,2095 SE Oak Grove Blvd.,Suite B,Oak Grove,Badge Print Co.,113449,badgeprint@badgeprint.com,5032452016,8003308401,OR,badgeandsignstore.com,97267
103AF4C0-359F-4B31-96F1-08E61E9BF0DE,1 orient way,suite F363,rutherford,Bag Center,551461,info@bagcenter.net,,9738149224,NJ,bagcenter.net,07070
A0FB3D6E-C7AE-11D3-896A-00105A7027AA,PO BOX 431,,UNION,"BAG MAKERS, Inc.",100767,cs@bagmakersinc.com,8004589023,8004589031,IL,www.bagmakersinc.com,60180-0431
D0AD48B5-4ECB-43FF-94FA-9E8FB8B2777E,7150 W Roosevelt St Ste C107,,phoenix,"Bagsmart, Inc",587850,info@bagsmartinc.com,8886380797,6234329729,AZ,www.bagsmartinc.com,85043
AD47200C-8060-4179-98B9-978A59965EDB,12336 RAMONA BLVD,,EL MONTE,Bagworld,191733,sales@bagworldpromo.com,6262791596,6262791583,CA,www.bagworldpromo.com,91732-2540
5FFEBD91-F1FB-44B3-AA57-7E1445EB392A,10315 BRIGHTON LN,,HOUSTON,Bagzazz,293452,info@bagzazz.com,2814989792,2816061244,TX,www.bagzazz.com,77031-2815
A0FB3CEC-C7AE-11D3-896A-00105A7027AA,12985 PIONEER TRL,,EDEN PRAIRIE,"Ball Pro, Inc.",101606,sales@ballpro.com,9529388949,9529389025,MN,www.ballpro.com,55347-4109
E140D8AF-D533-4D86-89C9-4447E067CAFE,6240 FRANKFORD AVE,Moravia Industrial Park,BALTIMORE,"Baltimore Glassware Decorators, Inc",215187,danah@bgdecorators.com,4103254295,4103254292,MD,www.bgdecorators.com,21206-4902
133FECF3-5EB0-46F5-8387-32D31CA87B38,10498 Colonel Ct. Suite 104,,Manassas,BamBams,145527,sales@bambams.com,7033721941,7033721940,VA,www.bambams.com,20110
A0FB3D6F-C7AE-11D3-896A-00105A7027AA,15373 PROCTOR AVE,,CITY OF INDUSTRY,"Banaka, Inc.",100773,customerservice@banaka.net,6263638860,6263638868,CA,www.banaka.net,91745-1022
A0FB39E3-C7AE-11D3-896A-00105A7027AA,15462 Electronic Ln,,HUNTINGTON BEACH,Baron & Baron Inc.,101549,Joleen@baronlfi.com,7149037530,7149037550,CA,www.licenseframe.com,92649-1334
A0FB3CED-C7AE-11D3-896A-00105A7027AA,PO BOX 392,,MIDDLEBORO,Bay State Specialty Company,101612,customerservice@baystate.com,8008329277,5089476700,MA,www.baystate.com,02346-0392
A0FB3BD6-C7AE-11D3-896A-00105A7027AA,PO BOX 500,PO Box 500,JACKMAN,BCH Unique Inc.,101474,danielle@bchunique.com,4813825512,8004634255,ME,www.bchunique.com,04945-0500
AB5AD5D4-D21B-4170-A1F2-67F558FC6655,2121 S BRIDGE ST,,NEW ULM,"Beacon Promotions, Inc.",131415,info@beaconpromotions.com,8006280221,8006289979,MN,www.beaconpromotions.com,56073-3959
E365AB7F-E7CB-4832-BEE4-82D511D5131A,1824 Evergreen St,,Duarte,Bear With Me,533356,sean@bearwithmetoys.com,,6266163368,CA,www.bearwithmetoys.com,91010
2EC06F7E-4BEA-462E-ABAA-2F7EB8ECF8F9,901 6th Avenue South,,Nashville,Belle Mar Ink & Thread,495595,sales@bellemarapparel.com,6157305136,6159150828,TN,www.bellemarapparel.com,37203
A0FB3CEE-C7AE-11D3-896A-00105A7027AA,7 CHAMBER DR,,WASHINGTON,Benchmark Industries LLC,101618,contactus@themagnetgroup.com,6362394480,6362395661,MO,www.themagnetgroup.com,63090-5258
A0FB3BDA-C7AE-11D3-896A-00105A7027AA,2587 COUNTY ROAD 99,,FREMONT,"Berlekamp Plastics, Inc.",101498,Sales@Berlekamp.com,4193349094,4193344481,OH,www.berlekamp.com,43420-9316
A0FB3948-C7AE-11D3-896A-00105A7027AA,3350 E 26TH ST,,VERNON,"Berney-Karp, Inc. / Ceramic Source",100501,annar@ceramic-source.com,3232607245,8002376395,CA,www.ceramic-source.com,90058-4102
B90F9E50-692E-45A7-857C-8402995B173F,1339 S Stanley Ave,,Los Angeles,Best Global Sourcing Inc.,488972,quotes@bgsourcing.com,3232975400,3239885757,CA,www.bgsourcing.com,90019
3EAA87B5-B7DA-4278-9A8F-00673D615F1F,318 Bronze,,Irvine,Beta Electronics,101852,sales@betapromotion.com,8883292382,6145388207,CA,www.betapromotion.com,92618
EAB836AC-FC5A-4A9E-B055-F7711A16193F,24795 County Road 75,,Saint Cloud,Better Life Line (A Fields Company),146634,joe.nguyen@fieldsmfg.com,8608016212,8006541517,MN,www.betterlifeline.com,56301
2007F47F-AB74-479A-92AF-B3C85074614D,1921 Carnegie Ave. Unit D,,Santa Ana,Better Wipes,538617,sales@betterwipes.com,,8006252821,CA,www.betterwipes.com,92705
A0FB390F-C7AE-11D3-896A-00105A7027AA,14421 Myerlake Circle,,Clearwater,BIC Graphic,100104,customerservice@bicgraphic.com,8007535690,8884465242,FL,www.norwoodbic.com,33760
507DE6C9-330D-4598-AF5D-15AD8A713D43,5711 34th Ave NW,,Gig Harbor,BIG FEET PAJAMA COMPANY,600665,john@bigfeetpjs.com,2535148489,2535090936,WA,http://www.bigfeetpjs.com,98335
D3F8A25C-C66B-4742-8502-0A2972B793E4,2111 BIG TIMBER RD,,ELGIN,"BizPins, Inc",102565,gailw@bizpins.com,8476606334,8476956212,IL,www.bizpins.com,60123-1123
0629725E-8361-4649-B903-8131112126AF,3080 VALMONT RD STE 130,,BOULDER,Bloomin' Promotions,111333,sofia@bloomin.com,3035455273,8008949185,CO,www.bloominpromotions.com,80301-2152
9C3DE569-34FF-4E22-8A88-A0EC0BA42179,3843 N BROADWAY ST,,CHICAGO,Blu Prime Playing Cards,219543,alevy@bluprimecards.com,8007095415,8007095413,IL,www.bluprimecards.com,60613-3217
EBF17049-AB09-41CB-9BF5-8626DEBBA13B,1700 NW 65th Ave,Suite 4,Plantation,BNBLine,587388,sales@bnbline.com,,8005150399,FL,www.bnbline.com,33313
5B63FAB6-DF9A-4B98-8540-8705711ACEDE,3000 SW 15TH ST STE H,Suite H,DEERFIELD BEACH,Boca Terry LLC,111751,Laura@bocaterry.com,9543124420,9543124406,FL,www.bocaterry.com,33442-8198
A0FB3822-C7AE-11D3-896A-00105A7027AA,2951 GRANT AVE,,PHILADELPHIA,Bodek and Rhodes,100236,customerservice@bodekandrhodes.com,2156736014,2156736767,PA,www.bodekandrhodes.com,19114-1087
FB2B28BA-544A-4550-9B6D-6C343C52A1FF,41 Canal St.,,Lewiston,Bondi Band,509650,jen@bondiband.com,,8606300052,ME,www.bondiband.com,04240
E545EA3E-F91D-4432-A62C-B5E1EE2701AA,112 E. Jennings Ln,,Centerville,Bottle Band,540858,sales@bottleband.com,,8019496291,UT,,84014
55DAF89F-3518-41F7-A1C1-87224810E93A,12354 BARRINGER ST,,S EL MONTE,Brainchild Gift Club,228557,info@brainchildusa.com,6267682830,6265755900,CA,www.brainchildusa.com,91733-4142
164E59E2-DBE4-45C5-BE03-8DB2E7536EF2,1 Chambers Street,,Binghamton,Brand Box Promo,463866,ORDERS@brandboxpromos.com,,8552354545,NY,www.brandboxpromos.com,13903
CF10E480-BC17-45E9-832B-417061973451,1920 Dolgner Place,,Sanford,Brand O' Guitar Company,495712,gino@brandoguitars.com,3212754211,4076204229,FL,www.brandoguitars.com,32771
D4246895-A834-4AF2-A861-CD34674604C2,5300 Clovermeadow Crescent,,Langley,Brandwear,461887,dale@brandwear.ca,,866339112,BC,,V2Z 2R1
48D9EAD2-17F7-46CB-BBDE-C14CE6E85961,7108 CROSSROADS BLVD STE 307,Suite 307,BRENTWOOD,Brentwood Line/ Sourcing Dept. LLC,116013,lance@SourcingDept.com,6153700677,8887773419,TN,www.BrentwoodLine.com,37027-7900
21743849-806F-4BCD-A544-5356BFE25B82,11785 Beltsville Dr.,,Beltsville,Brewski Promotionz,575044,contactbrewskipromotionz@gmail.com,,3019289230,MD,,20705
97214A81-5EAF-4232-BDE9-B0E4130E5AAA,13089 Peyton Dr.,#C266,Chino Hills,Brico King USA,536604,bricokingusa@gmail.com,,9099278997,CA,www.bricokingusa.com,91709
F5885E05-0C0E-49E1-AE05-6EB63AE528EA,300 Lakeview Pkwy,,Vernon Hills,Brighter Promotions,461893,greg@chemlite.com,,8004463200,IL,www.brighterpromotions.com/,60061
E8C3AA98-CB3A-4F9A-AC2A-CF9233570E97,1370 ROCHESTER ST,,LIMA,Bristol ID Technologies,243195,dmorsch@bristolid.com,,8002155865,NY,www.bristolid.com,14485-9424
46510488-04E5-4464-B4AF-17EA356F1262,171 WAMPLERS LAKE RD,,BROOKLYN,"Brooklyn Products International, Inc. (Amerifoam)",103591,lbascom@amerifoam.com,5175923759,,MI,www.amerifoam.com,49230-9585
A0FB3AA4-C7AE-11D3-896A-00105A7027AA,171 COMMONWEALTH AVE,,ATTLEBORO FALLS,BUDGETCARD Inc.,101139,cs@budgetcard.com,5086950169,5086958762,MA,www.budgetcard.com,02763-1152
A0FB3AA5-C7AE-11D3-896A-00105A7027AA,1205 W. Bessemer Avenue,Suite 120,GREENSBORO,Buffalo Bay,101146,sales@buffalobay.com,3362301320,3362302200,NC,www.buffalobay.com,27408
BD3B238A-902A-4100-8675-E4738B5F4F98,P.O. Box 85,,Buffalo,Buffalo BottleCraft,519172,dave@buffalobottlecraft.com,,7169982764,NY,www.BuffaloBottleCraft.com,14209
A0FB3837-C7AE-11D3-896A-00105A7027AA,6301 East 10th Ave,Ste 110,Hialeah,Bullet,100383,info@bulletline.com,8009209223,8007497367,FL,www.bulletline.com,33013
58C01077-3381-4F5B-881F-98C0C682C2C6,1935 N Ridge Rd,,Wichita,ButtonStar,471640,Service@ButtonStar.com,8885380610,3167299169,KS,www.getbuttons.com,67212-1413
ACA9DC4D-90F8-4DBC-BE3E-764542317060,59 School Ground Road,,Branford,Buy Buttons,513375,info@buy-buttons.com,8005642924,8005642924,CT,www.buy-buttons.com,06512
43E15FB4-772F-4515-BE2C-0F259A4825DE,2841 HICKORY VALLEY RD,,CHATTANOOGA,Buyprinteddiscs.com,224457,mmankin@buyprinteddiscs.com,8005914809,8005914841,TN,,37421-6600
A0FB395D-C7AE-11D3-896A-00105A7027AA,5160 Richton St.,Unit #D,Montclair,C2T Corp.,100645,steven@c2t-corp.com,9099856889,9099856888,CA,www.c2t-corp.com,91763
A0FB3AAB-C7AE-11D3-896A-00105A7027AA,PO BOX 347,,JEFFERSON VALLEY,Calcutime Inc,101188,sales@calcutime.com,9149695475,8452251507,NY,www.calcutime.com,10535-0347
AA7B8428-0BC1-41BA-A0BB-8E479177D287,5623 Miller Road,,Celina,Calico Promotional Products,589925,pat@calicopromos.com,,4195861708,OH,www.calicopromos.com,45822
0C40F834-683B-4788-B478-437A3D9752D6,220 S Bridge Street,,Visalia,California Apparel and Printing,600281,jgraham@calapparel.net,,5597337020,CA,www.calapparel.net,93291
49E21AB3-E37F-4672-87B4-7459EB02550F,3741 E TECHNICAL DR,,TUCSON,California Tattoos,123664,kpoppe@caltattoo.com,5207480091,5202395144,AZ,www.californiatattoo.com,85713-5343
A0FB3BE6-C7AE-11D3-896A-00105A7027AA,400 HILLSIDE AVE,,HILLSIDE,Cameo Novelty & Pen Co.,101569,service@cameoline.com,9739238480,9739231600,NJ,www.cameoline.com,07205-1117
A0FB37DC-C7AE-11D3-896A-00105A7027AA,PO BOX 229,PO Drawer 229,FREDERICKTOWN,"Cap America, Inc.",101506,lizc@capamerica.com,5737833397,8004872227,MO,www.capamerica.com,63645-0229
15DA3B1F-A0AA-453A-9196-A6642620685D,2955 SIDCO DR,,NASHVILLE,Capital Apparel,173866,custserv@capitalapparel.com,6152555659,6152555658,TN,www.capitalapparel.com,37204-3709
915FC86E-E62A-4FB4-9D87-BDB20468F471,1750 Tower Blvd.,,NORTH MANKATO,Carlson Craft - Binder Division,199819,essentials@carlsoncraft.com,8663370330,8664098949,MN,www.presentationessentials.com,56003-1804
C88A5E01-054B-4A2E-872C-432879109D7B,7025 AUGUSTA RD,,GREENVILLE,Caro-Line/Bandanna Promotions,162686,pams@bandannapromotions.com,8642771477,8646723109,SC,www.bandannapromotions.com,29605-5140
A0FB3B0E-C7AE-11D3-896A-00105A7027AA,600 N LONG ST STE B,,SALISBURY,Carolina Print Works,100099,doug@carolinaprintworks.com,7046360380,7046376902,NC,,28144-4421
6C83453F-0677-4925-879C-FD6FCEDBB75C,1 OSPREY LN,,CRANBURY,Carrigar,120571,jivan@carrigar.com,6099369477,6095140900,NJ,,08512-2121
A0FB3CF2-C7AE-11D3-896A-00105A7027AA,2080 BRIERLEY WAY STE 102,,SPARKS,Castelli North America,101643,info@castellinorthamerica.com,8884436433,8886452628,NV,www.castellinorthamerica.com,89434-9508
8088E298-F808-4FB4-B89A-EE84A1659A7B,167 Nassau Blvd South,,Garden City South,"Castle Merchandising, Inc.",119449,john@castlepremium.com,5162924144,5162924143,NY,www.castlepremium.com,11530
0676F199-AE30-4CF6-B112-D52FEEB8BBE8,07976 County Road C,,Bryan,CazMaz Productions LLC,687455,saturdaynightzing@gmail.com,,4196306863,OH,www.saturdaynightzing.com,43506
04D8D402-2D96-4441-B4BF-1D3E2560788B,2529 Washington Blvd,,Baltimore,CD Source Direct,103965,s.lawyer@cdsourcedirect.com,9734614674,8009655228,MD,www.cdsourcedirect.com,21230
7CBF6378-E2BB-4984-9555-863C8FAAF205,900 Pressley Road,,Charlotte,Century Place Apparel,504007,tstiene@centuryplaceapparel.com,7047900971,7047900970,NC,www.centuryplaceapparel.com,28217
6DB48197-291D-4282-8420-A3AB342F7CDD,1625 E ALGONQUIN RD,,ARLINGTON HEIGHTS,Certif-A-Gift,133145,sales@certif-a-gift.com,8004397630,8005455156,IL,www.certif-a-gift.com,60005-4758
A0FB3753-C7AE-11D3-896A-00105A7027AA,6444 E 26TH ST,,COMMERCE,Chameleon Beverage Co.,100575,billb@chameleonbeverage.com,3237249048,3237248223,CA,www.chameleonbeverage.com,90040-3214
A0FB38FB-C7AE-11D3-896A-00105A7027AA,206 Clary Avenue,,San Gabriel,Champion Ball Company/USK Int'l,101693,sales@championball.com,,6262927880,CA,www.championball.com,91776
A0FB3D76-C7AE-11D3-896A-00105A7027AA,1205 PROVIDENCE HWY,,SHARON,Charles River Apparel,100822,custserv@charlesriverapparel.com,7817931135,8002250550,MA,www.charlesriverapparel.com,02067-1671
3FA68C72-8275-4D0D-893B-6C5CDDBEA070,2025 SWEET RD,,BLAINE,Chocolate Chocolate,109814,sales@chocolate2.com,3603321802,8884489722,WA,www.chocolate2.com,98230-9198
A0FB3D4E-C7AE-11D3-896A-00105A7027AA,110 BUFFALO AVE,,FREEPORT,Chocolate Inn/Taylor & Grant,100547,customerservice@chocolateinn.net,5163777190,8005263437,NY,www.chocolateinn.com,11520-4718
